[17:59:13] [INFO] received Windows console close event; shutting log-core down
[18:12:54] [INFO] received Windows console close event; shutting log-core down
[07:50:24] [INFO] received Windows console close event; shutting log-core down
[07:51:23] [INFO] received Windows console close event; shutting log-core down
[07:53:10] [INFO] received Windows console close event; shutting log-core down
[08:03:09] [INFO] received Windows console close event; shutting log-core down
[08:05:23] [INFO] received Windows console close event; shutting log-core down
[16:50:08] [INFO] received Windows console close event; shutting log-core down
[16:58:13] [INFO] received Windows console close event; shutting log-core down
[17:29:06] [INFO] received Windows console close event; shutting log-core down
[18:51:49] [INFO] received Windows console close event; shutting log-core down
[18:57:37] [INFO] received Windows console close event; shutting log-core down
[19:04:43] [INFO] received Windows console close event; shutting log-core down
[19:10:46] [INFO] received Windows console close event; shutting log-core down
[19:22:38] [INFO] received Windows console close event; shutting log-core down
[19:25:21] [INFO] received Windows console close event; shutting log-core down
[19:31:24] [INFO] received Windows console close event; shutting log-core down
[19:33:18] [INFO] received Windows console close event; shutting log-core down
[08:50:32] [INFO] received Windows console close event; shutting log-core down
[09:12:34] [INFO] received Windows console close event; shutting log-core down
[13:51:57] [INFO] received Windows console close event; shutting log-core down
[13:55:37] [INFO] received Windows console close event; shutting log-core down
[14:00:21] [INFO] received Windows console close event; shutting log-core down
[14:08:58] [INFO] received Windows console close event; shutting log-core down
[14:40:07] [INFO] received Windows console close event; shutting log-core down
[14:56:42] [INFO] received Windows console close event; shutting log-core down
[15:01:20] [INFO] received Windows console close event; shutting log-core down
[15:07:25] [INFO] received Windows console close event; shutting log-core down
[15:10:16] [INFO] received Windows console close event; shutting log-core down
[21:05:01] [INFO] received Windows console close event; shutting log-core down
[21:06:25] [INFO] received Windows console close event; shutting log-core down
[21:08:16] [INFO] received Windows console close event; shutting log-core down
[10:25:54] [INFO] received Windows console close event; shutting log-core down
[10:31:15] [INFO] received Windows console close event; shutting log-core down
[11:12:23] [INFO] received Windows console close event; shutting log-core down
[12:23:27] [INFO] received Windows console close event; shutting log-core down
[12:23:30] [INFO] received Windows console close event; shutting log-core down
[13:13:50] [INFO] received Windows console close event; shutting log-core down
[13:56:42] [INFO] received Windows console close event; shutting log-core down
